review_id,user_name,rating,date,text
4f69f709-f495-465d-8e2c-de883050cfbc,I A,1,2025-10-25 19:58:44,you cannot see the menu without giving phone number
386a68a2-904f-4c6f-b26c-8efe2930b8f6,Robert,1,2025-10-22 07:38:06,"lmao why are you already asking for my credit card and I haven't been able to survey your app yet? you're crazy. and btw, you dont explicitly ask for someone's birth day unless its for a good reason and its preferably transparent. + your stuff is too expensive."
f368fdc5-d9ac-4cef-bb4c-9f4d191477da,My Bank,5,2025-10-20 23:10:01,this so good food I like too much I feel good to uze
3ed08133-eeca-4861-b525-81670457c07c,raja shaikh,1,2025-10-14 16:06:52,I asked to avoid beef and the delivered beef in breakfast Delivery was supposed to be morning they delivered the night before very bad experience the food was not that great too
5823bdb4-3ef7-47e2-98e3-44981c46379f,Abdulrahman Alsubhi,1,2025-10-11 16:50:29,the app is not working
5788e757-3d7e-4959-8cb4-70cf63365542,Meave z,3,2025-09-24 05:11:58,التطبيق عالاندرويد كل شوي يخرب ولازم ارجع احذفه وانزله كل يوم عشان اختار وجباتي حدثوه مو طبيعي ما عدلتوه للان مع كثر الشكاوي.
741598d3-737c-4677-b7ff-61479377211b,A T,1,2025-09-23 12:33:08,"I wish I could give -1 star DO NOT order from Calo. Horrible service—missed my meals two days in a row, despite me giving the correct location pin. They refuse to refund. Totally unprofessional. Avoid at all costs."
c46432fe-8471-4554-ac93-becf3d1736de,Mya C,1,2025-09-23 03:50:20,app keeps crashing. deliveries are consistently late. food is very nice however way too expensive.
1a88fb4f-6d4f-4b61-9136-3ac978cdaa72,Ali Sh.,1,2025-09-23 03:31:39,"Buggy application, it keeps crashing."
ebea5c3e-096b-454e-99f4-951bcb1caf8f,Tom,1,2025-09-21 13:21:00,"Avoid! Terrible service - half the meals were spoiled due to delivery issues (they're not refrigerated and the food was over 20 deg by 6am). Other days were missing meals or parts of the meals. Caused significantly more stress than it saves. Customer service is AI - they only offer more free days instead of refunding but because they can't get it right, you just waste your time and money. I guess the good reviews are from areas where they can actually operate (not South London)"
ac4d1165-dad1-441a-b287-15c0199cd1a4,Saad Malaise AlGhamdi,1,2025-09-20 21:50:26,"The app is horrendous, buggy and almost unusable"
a1593108-3267-4239-b66c-f16d7fb844c9,Yawar Abbas,5,2025-09-18 13:30:17,Good Food and good quality I love calo
395e5544-fa80-4ed1-bfee-bbcb93bb671b,Maria Lis,1,2025-09-17 13:01:33,"Calo's recent update has made the app difficult to use. I am unable to scroll through the food options, and the feature that shows my daily meal plan no longer works. Now, after several reinstallations, the app still doesnt let me scroll down. The new version also seems to have a bug that causes food to be skipped without my input. The app was great before, but it's currently unusable."
668b8a80-47b0-4faa-b7cc-98507e1b1e79,فارس الشهري,1,2025-09-16 23:10:22,"meals are good, however the app itself is buggy, especially not registering swiping movements"
0c42b70c-1cc4-4d5b-ba83-9ee42fbf1c59,Noor Al.Rumaidhi,1,2025-09-16 16:23:30,"The food is phenomenal but the app, it's horrendous. And when you try to get help they tell you to re-install instead of addressing the root issue of the awful app."
4c1b1019-340a-441f-9f1d-f5c809045d82,riham safa,1,2025-09-15 15:17:16,"I enjoy Calo meals and services. But the application keeps crashing on Android software and i struggle in choosing my weekly menu. Please fix this issue because i sent the customer service a complain about that a year ago, showing them a screen record of the system bugging as well."
021e7269-5e40-48aa-a79e-988890ce8c86,Ingrid S,1,2025-09-14 11:53:35,"Just can't scroll! since the latest update I can't scroll inside the app, I can't even click on market or account. How can I possibly amend anything or even pay for my weekly meals. Please repair immediately!"
230401d1-0256-415b-8ac5-33e107bb3908,Salim Babseil,1,2025-09-13 23:18:09,التطبيق يعمل فقط على جوجل وعلى هواوي لا يعمل. للاسف انا عندي هواوي.
dfa2ea51-05e2-4cfa-9755-7b1cb67eae9c,Shaista Akbar,1,2025-09-13 03:50:17,this app was good before but now even getting an answer to the most simplest question is a task. no one talks to you or answer your query. They have bots talking to you now and they just beat around the bush. its so frustrating
21e64260-5c70-49f0-b02a-8dec41caa4fc,Ahmed Rostom,1,2025-09-12 15:23:57,The app doesn't even allow me to login on Android.
4c97a446-16e7-43e1-95c3-30d7f6a4305e,Fares Al-Enizi,1,2025-09-12 07:51:09,last update doesn't let me scroll the screen
ab56514a-d894-46c5-a77d-42d4008ff642,Abdul Gamde,1,2025-09-11 14:01:04,"the latest app update on Android is very buggy, making it almost impossible to pay or pick the food. I had to use my wife's iphone as the apple version is much more stable. since the app is the only way to interact with the service it obviously makes this app and by extension the service absolutely miserable. if the company restores the version of last year then maybe I would change my review."
1ca1f71d-73c8-4fc9-8600-cbbc1c340847,W7 Potrez,1,2025-09-08 20:57:30,"Clearly, you didn't make much effort to develop this application Update: The application gave up and never worked even trying to reinstall, and still, it did keep crashing"
